Subject,Area,Perimeter,BoundingBoxWidth,BoundingBoxHeight,CentroidX,CentroidY,SkeletonLength,MeanThickness,MaxThickness,MinThickness,StdThickness
synthetic_mri_002.png,62.0,34.97056245803833,15,8,56,35,8,5.941957233908092,7.211102550927978,4.0,0.8325528394085832
synthetic_mri_003.png,8.0,11.656854152679443,6,3,25,46,4,3.414213562373095,4.0,2.8284271247461903,0.5857864376269049
synthetic_mri_004.png,260.0,135.88224911689758,22,48,49,54,50,5.323422093989397,8.0,2.8284271247461903,1.288866637486417
synthetic_mri_005.png,21.0,22.14213526248932,9,7,49,3,8,3.3251407699364424,4.47213595499958,2.0,0.9713078091452181
synthetic_mri_006.png,30.5,27.55634891986847,9,10,39,8,9,3.844569573276838,4.47213595499958,2.8284271247461903,0.5748007544750314
synthetic_mri_007.png,13.0,14.485281229019165,4,7,4,30,4,3.7071067811865475,4.0,2.8284271247461903,0.5073059361772881
synthetic_mri_012.png,125.0,64.42640614509583,22,21,43,65,23,5.4089090035363885,7.211102550927978,2.8284271247461903,1.1629269296206426
synthetic_mri_013.png,13.5,15.899494767189026,7,5,27,17,5,3.2970562748477144,4.0,2.8284271247461903,0.5739511481714404
synthetic_mri_015.png,45.5,30.38477599620819,9,12,29,56,5,4.660112615949155,6.0,2.8284271247461903,1.2179287362861315
synthetic_mri_016.png,9.0,12.485281229019165,5,5,31,73,3,3.60947570824873,4.0,2.8284271247461903,0.5522847498307933
