File,X1,Y1,X2,Y2
synthetic_delayed_001.png,0,0,122,128
synthetic_delayed_002.png,0,53,71,107
synthetic_delayed_003.png,21,86,123,128
synthetic_delayed_004.png,35,4,128,128
synthetic_delayed_005.png,0,0,104,64
synthetic_delayed_006.png,0,49,70,128
synthetic_delayed_007.png,1,0,97,62
synthetic_delayed_008.png,0,0,96,71
synthetic_delayed_009.png,0,29,92,128
synthetic_delayed_010.png,0,28,128,128
synthetic_delayed_011.png,3,60,128,128
synthetic_delayed_012.png,0,0,128,100
synthetic_delayed_013.png,39,27,128,81
synthetic_delayed_014.png,0,6,92,128
synthetic_delayed_015.png,0,0,112,128
synthetic_delayed_016.png,0,0,99,73
synthetic_delayed_017.png,0,0,81,117
synthetic_delayed_018.png,0,35,128,128
synthetic_delayed_019.png,20,0,113,71
synthetic_delayed_020.png,0,0,76,122
synthetic_delayed_021.png,0,0,128,108
synthetic_delayed_022.png,8,75,128,128
synthetic_delayed_023.png,0,0,106,65
synthetic_delayed_024.png,0,25,57,112
synthetic_delayed_025.png,0,54,117,128
synthetic_delayed_026.png,20,76,128,128
synthetic_delayed_027.png,7,57,105,128
synthetic_delayed_028.png,42,33,128,128
synthetic_delayed_029.png,32,50,118,118
synthetic_delayed_030.png,43,91,128,128
synthetic_delayed_031.png,0,0,113,118
synthetic_delayed_032.png,14,46,112,128
synthetic_delayed_033.png,0,0,104,128
synthetic_delayed_034.png,0,41,128,128
synthetic_delayed_035.png,8,0,112,79
synthetic_delayed_036.png,0,36,120,128
synthetic_delayed_037.png,0,0,93,71
synthetic_delayed_038.png,9,0,107,66
synthetic_delayed_039.png,0,28,57,101
synthetic_delayed_040.png,0,0,110,128
synthetic_delayed_041.png,4,69,128,128
synthetic_delayed_042.png,10,72,128,128
synthetic_delayed_043.png,3,50,102,128
synthetic_delayed_044.png,0,67,128,128
synthetic_delayed_045.png,9,83,96,128
synthetic_delayed_046.png,0,54,128,128
synthetic_delayed_047.png,0,0,121,80
synthetic_delayed_048.png,0,61,128,128
synthetic_delayed_049.png,0,0,128,128
synthetic_delayed_050.png,0,66,120,128
synthetic_delayed_051.png,0,62,128,128
synthetic_delayed_052.png,0,0,81,128
synthetic_delayed_053.png,0,74,108,128
synthetic_delayed_054.png,0,50,78,123
synthetic_delayed_055.png,6,0,105,43
synthetic_delayed_056.png,0,40,128,128
synthetic_delayed_057.png,0,51,128,128
synthetic_delayed_058.png,0,0,98,128
synthetic_delayed_059.png,1,90,128,128
synthetic_delayed_060.png,0,0,65,128
synthetic_delayed_061.png,0,0,77,117
synthetic_delayed_062.png,0,54,113,128
synthetic_delayed_063.png,0,0,65,117
synthetic_delayed_064.png,0,47,128,128
synthetic_delayed_065.png,0,0,128,128
synthetic_delayed_066.png,0,0,96,128
synthetic_delayed_067.png,9,42,128,128
synthetic_delayed_068.png,7,75,109,128
synthetic_delayed_069.png,0,48,83,128
synthetic_delayed_070.png,0,32,79,128
synthetic_delayed_071.png,0,57,105,128
synthetic_delayed_072.png,0,0,112,89
synthetic_delayed_073.png,0,70,128,128
synthetic_delayed_074.png,0,0,107,128
synthetic_delayed_075.png,0,0,102,69
synthetic_delayed_076.png,0,0,117,128
synthetic_delayed_077.png,0,5,58,107
synthetic_delayed_078.png,0,46,124,128
synthetic_delayed_079.png,0,0,128,93
synthetic_delayed_080.png,0,63,128,128
synthetic_delayed_081.png,0,0,112,96
synthetic_delayed_082.png,0,0,128,128
synthetic_delayed_083.png,6,64,128,128
synthetic_delayed_084.png,12,15,93,128
synthetic_delayed_085.png,0,0,128,128
synthetic_delayed_086.png,0,66,128,128
synthetic_delayed_087.png,5,0,108,66
synthetic_delayed_088.png,1,15,88,113
synthetic_delayed_089.png,0,61,119,128
synthetic_delayed_090.png,11,81,128,128
synthetic_delayed_091.png,2,0,128,128
synthetic_delayed_092.png,0,0,113,88
synthetic_delayed_093.png,0,77,120,128
synthetic_delayed_094.png,18,86,110,128
synthetic_delayed_095.png,0,0,126,121
synthetic_delayed_096.png,0,0,128,128
synthetic_delayed_097.png,0,0,115,128
synthetic_delayed_098.png,0,0,86,128
synthetic_delayed_099.png,0,44,128,128
synthetic_delayed_100.png,0,0,128,128
synthetic_delayed_101.png,0,0,100,98
synthetic_delayed_102.png,7,0,128,92
synthetic_delayed_103.png,0,45,128,128
synthetic_delayed_104.png,1,24,128,92
synthetic_delayed_105.png,0,31,121,128
synthetic_delayed_106.png,0,49,128,128
synthetic_delayed_107.png,0,60,128,128
synthetic_delayed_108.png,0,0,124,128
synthetic_delayed_109.png,0,0,91,101
synthetic_delayed_110.png,2,56,104,128
synthetic_delayed_111.png,0,0,128,60
synthetic_delayed_112.png,0,0,111,83
synthetic_delayed_113.png,0,0,114,72
synthetic_delayed_114.png,0,0,78,128
synthetic_delayed_115.png,4,49,128,128
synthetic_delayed_116.png,0,0,85,128
synthetic_delayed_117.png,0,65,120,128
synthetic_delayed_118.png,9,0,128,96
synthetic_delayed_119.png,0,0,77,128
synthetic_delayed_120.png,31,45,127,128
synthetic_delayed_121.png,0,66,128,128
synthetic_delayed_122.png,25,60,128,128
synthetic_delayed_123.png,2,59,83,128
synthetic_delayed_124.png,0,0,116,128
synthetic_delayed_125.png,0,82,123,128
synthetic_delayed_126.png,38,14,113,74
synthetic_delayed_127.png,0,0,96,88
synthetic_delayed_128.png,0,30,128,128
