Subject,Area,Perimeter,BoundingBoxWidth,BoundingBoxHeight,CentroidX,CentroidY,SkeletonLength,MeanThickness,MaxThickness,MinThickness,StdThickness
s0001.png,31468.5,721.5706285238266,163,248,101,152,187,115.15442087074737,156.1793840428371,22.80350850198276,34.300566651869715
s0002.png,6592.0,630.3574261665344,110,195,124,136,242,23.91518181982759,29.732137494637012,17.88854381999832,3.1645681771338636
s0003.png,229.5,65.35533833503723,24,18,135,133,21,9.21143477977125,12.806248474865697,2.8284271247461903,3.009024958816799
s0004.png,316.0,69.59797847270966,24,21,88,130,14,13.831534194476323,17.88854381999832,7.211102550927978,2.9476536138142486
s0005.png,350.5,96.5269113779068,39,16,93,195,36,9.313795516705179,12.0,5.656854249492381,1.8036665636980904
s0006.png,6129.0,673.553384065628,136,186,125,126,256,20.785681670683292,27.85677655436824,11.661903789690601,4.440840290420339
s0007.png,5262.5,564.5411919355392,139,159,101,191,219,20.677907244351918,29.120439557122072,2.0,4.8956645094830815
s0008.png,5451.5,622.8843365907669,106,185,105,153,240,19.598428829350492,29.5296461204668,2.8284271247461903,5.709779980076606
s0009.png,5235.5,706.3990571498871,116,189,45,135,296,16.871252297628015,24.08318915758459,2.8284271247461903,5.043999106945056
s0010.png,6056.5,668.6244523525238,114,192,131,157,261,20.259583919078132,28.071337695236398,8.0,3.9597383278525693
s0011.png,5418.5,674.8254630565643,107,194,109,115,270,17.926160165051947,28.0,2.8284271247461903,4.523294059014077
s0012.png,6305.5,693.2518693208694,116,210,100,122,273,20.512999521394484,27.85677655436824,11.661903789690601,3.0873724994383083
s0013.png,6213.0,660.4406864643097,110,193,56,155,263,20.969396820953584,28.0,5.656854249492381,4.442619547999966
s0014.png,6455.0,598.7594467401505,85,192,87,141,237,23.612741170779817,32.2490309931942,10.0,5.247428019064372
s0015.png,5787.5,629.3107446432114,102,203,102,135,245,21.03055072795765,26.832815729997478,10.770329614269007,3.163828950784226
s0016.png,7593.0,753.8965301513672,134,196,59,152,290,22.14279627126304,32.984845004941285,8.94427190999916,4.416273297822924
s0017.png,3636.5,413.2030967473984,106,116,96,102,142,20.304726041733225,29.732137494637012,14.422205101855956,3.910954507392414
s0018.png,6965.5,746.8498513698578,134,215,68,129,290,20.858164888994914,31.04834939252005,5.656854249492381,5.119172099152477
s0019.png,5590.5,689.653889298439,130,198,76,133,273,18.114516026930392,30.0,2.0,4.684537884430872
s0020.png,6795.0,632.8427072763443,106,201,89,121,244,24.229071097064036,33.1058907144937,12.165525060596439,4.623672056019206
s0021.png,5375.0,679.754393696785,120,189,72,162,275,17.970550349534786,28.635642126552707,10.0,4.778479422303771
s0022.png,5815.5,601.9137761592865,93,196,117,122,230,21.76522243953832,28.635642126552707,6.324555320336759,3.164525650425396
s0023.png,7769.0,682.0975408554077,131,189,100,144,284,24.38025056418199,34.058772731852805,2.8284271247461903,5.287295632339866
s0024.png,3981.5,685.8305135965347,142,152,139,163,296,13.188105066670147,19.79898987322333,2.8284271247461903,3.2309053863172976
s0025.png,6148.5,701.5117524862289,148,166,86,115,293,19.38964901265569,32.31098884280702,6.0,4.257962936356485
s0026.png,4778.0,610.4406862258911,111,182,43,148,233,18.053277367104872,26.0,12.0,3.3071960034281704
s0027.png,833.5,144.46803629398346,57,24,33,182,44,15.043767080271358,22.0,8.246211251235321,3.1985194356136604
s0028.png,6378.0,701.8965290784836,126,203,63,126,271,20.165752551193588,29.732137494637012,10.0,5.001769766472346
s0029.png,675.5,111.01219236850739,44,22,97,220,29,17.086350002573067,19.697715603592208,13.416407864998739,1.7581599324839705
s0030.png,4594.5,612.1147849559784,95,191,92,173,245,16.797866574683248,26.0,4.0,5.822111701229047
s0031.png,6618.0,689.8965318202972,121,201,48,134,286,20.919798526282843,32.0,2.0,6.85910666960712
s0032.png,706.5,180.75230646133423,42,67,103,96,64,9.367436951948285,14.560219778561036,6.0,2.704371452162929
s0033.png,7191.0,701.2102372646332,128,206,65,141,271,22.753264670530797,36.76955262170047,8.94427190999916,5.345724432759687
s0035.png,253.5,62.870057344436646,22,17,61,162,11,11.450662822807754,15.231546211727817,8.0,2.368458073439572
s0036.png,4869.0,596.2152905464172,87,176,82,134,254,18.1133018318942,24.331050121192877,4.0,4.033670967134971
s0037.png,1209.0,182.71067678928375,76,31,122,108,62,16.262297133001052,21.540659228538015,10.0,2.7337109995304023
s0038.png,4852.0,559.6711348295212,87,179,120,116,211,19.431209221914273,30.0,5.656854249492381,4.781644814448219
s0039.png,3553.0,591.6711330413818,89,201,116,129,223,13.513411986564241,26.0,4.0,5.2049718880913645
s0040.png,5274.0,613.4112486839294,104,185,82,157,256,19.01249226673529,32.0,4.0,5.9392876515059285
s0041.png,566.5,126.32590079307556,49,25,74,119,49,11.070898762279006,17.08800749063506,5.656854249492381,3.3996543316874215
s0042.png,1125.5,204.40916109085083,62,63,60,103,65,13.667604417979533,19.697715603592208,4.47213595499958,4.292709948784752
s0043.png,1963.5,283.9482650756836,97,79,115,72,102,16.08743492627037,24.0,6.0,4.313490720854584
s0044.png,7014.0,806.5239478349686,138,228,56,91,319,20.128599141031298,32.0,10.770329614269007,5.5758658806264085
