File,X1,Y1,X2,Y2
s0001.png,249,268,512,491
s0002.png,0,74,243,221
s0003.png,285,279,512,414
s0004.png,0,404,448,512
s0005.png,65,456,461,512
s0006.png,18,181,282,423
s0007.png,0,409,503,512
s0008.png,0,113,200,283
s0009.png,120,65,361,125
s0010.png,235,289,507,458
s0011.png,240,268,512,444
s0012.png,107,369,342,450
s0013.png,188,307,512,442
s0014.png,288,309,506,453
s0015.png,0,20,388,164
s0016.png,258,290,512,393
s0017.png,218,283,512,446
s0018.png,249,299,512,416
s0019.png,82,437,437,509
s0020.png,0,106,175,270
s0021.png,168,44,390,227
s0022.png,0,32,407,194
s0023.png,75,8,281,170
s0024.png,208,455,439,512
s0025.png,159,401,512,512
s0026.png,265,208,512,280
s0027.png,79,249,302,400
s0028.png,290,206,506,290
s0029.png,252,266,487,392
s0030.png,45,320,297,423
s0031.png,38,420,512,512
s0032.png,174,22,366,84
s0033.png,247,289,512,400
s0034.png,0,236,202,320
s0035.png,227,306,498,378
s0036.png,80,442,512,512
s0037.png,77,459,434,508
s0038.png,96,0,415,83
s0039.png,29,424,258,512
s0040.png,37,61,373,140
s0041.png,257,364,482,484
s0042.png,177,443,460,512
s0043.png,179,73,324,139
s0044.png,158,282,512,482
s0045.png,271,324,400,423
s0046.png,229,303,512,390
s0047.png,0,107,252,456
s0048.png,239,286,491,420
s0049.png,17,0,491,205
s0050.png,8,347,203,440
s0051.png,0,95,245,246
s0052.png,198,314,420,394
s0053.png,40,438,512,512
s0054.png,0,310,286,444
s0055.png,235,246,512,338
s0056.png,18,29,397,137
s0057.png,0,162,203,276
s0058.png,231,275,512,474
s0059.png,280,288,512,471
s0060.png,6,107,361,362
s0061.png,231,301,492,475
s0062.png,28,0,358,208
s0063.png,0,119,194,233
s0064.png,180,73,398,319
s0065.png,53,153,278,312
s0066.png,58,322,299,408
s0067.png,231,175,394,284
s0068.png,77,61,299,145
s0069.png,111,255,512,512
s0070.png,33,40,227,289
s0071.png,0,223,296,416
s0072.png,0,231,191,327
s0073.png,109,464,442,512
s0074.png,161,375,485,512
s0075.png,0,29,379,169
s0076.png,215,228,512,453
s0077.png,0,47,315,145
s0078.png,153,69,323,124
s0079.png,53,89,265,269
s0080.png,276,291,512,492
s0081.png,37,230,213,359
s0082.png,32,329,245,427
s0083.png,126,414,451,512
s0084.png,77,29,373,157
s0085.png,0,231,228,329
s0086.png,100,70,300,167
s0087.png,43,299,292,404
s0088.png,135,65,294,120
s0089.png,0,277,512,406
s0090.png,73,0,380,190
s0091.png,0,0,355,199
s0092.png,108,0,397,239
s0093.png,214,187,491,304
s0094.png,252,284,482,376
s0095.png,91,291,369,381
s0096.png,30,291,409,512
s0097.png,28,221,512,492
s0098.png,238,266,512,496
s0099.png,249,320,512,449
s0100.png,245,281,512,451
s0101.png,223,92,405,227
s0102.png,58,10,364,138
s0103.png,9,50,345,153
s0104.png,194,256,512,421
s0105.png,0,42,218,381
s0106.png,212,284,479,455
s0107.png,0,76,219,376
s0108.png,12,231,320,477
s0109.png,123,364,512,512
s0110.png,44,168,512,481
s0111.png,131,50,356,149
s0112.png,79,321,397,438
s0113.png,90,0,402,249
s0114.png,238,307,512,448
s0115.png,293,280,512,469
s0116.png,33,37,315,134
s0117.png,38,0,317,166
s0118.png,91,13,412,261
s0119.png,214,302,491,425
s0120.png,0,0,386,230
s0121.png,0,238,512,512
s0122.png,231,272,501,417
s0123.png,248,237,512,455
s0124.png,218,287,482,432
s0125.png,234,304,444,438
s0126.png,60,256,284,372
s0127.png,90,0,396,147
s0128.png,103,445,422,512
s0129.png,0,0,321,259
s0130.png,6,12,402,177
s0131.png,135,33,437,234
s0132.png,295,193,512,320
s0133.png,253,257,512,349
s0134.png,0,96,202,306
s0135.png,95,0,380,177
s0136.png,209,175,512,343
s0137.png,112,49,349,184
s0138.png,0,0,423,280
s0139.png,252,275,487,415
s0140.png,129,0,383,158
s0141.png,47,77,319,134
s0142.png,242,301,512,448
